time,raw_bytes,P299_Com_bCrCtlInhib,P299_Com_bCrCtlInhib_recalculated,P299_Com_bCrCtlInhib_ok,all_checksums_ok,P337_Com_stPrkBrk
1.994,00 00 00 00 80 C1 00 EA,0,0,True,True,0
2.013,00 00 00 00 80 C1 00 F9,0,0,True,True,0
2.033,00 00 00 00 80 71 00 0D,0,0,True,True,0
2.054,00 00 00 00 80 71 00 1C,0,0,True,True,0
2.074,00 00 00 00 80 E1 00 24,0,0,True,True,0
2.093,00 00 00 00 80 C1 00 35,0,0,True,True,0
2.114,00 00 00 00 80 51 00 4B,0,0,True,True,0
2.134,00 00 00 00 80 41 00 5B,0,0,True,True,0
2.154,00 00 00 00 80 F1 00 6F,0,0,True,True,0
2.174,00 00 00 00 80 C1 00 71,0,0,True,True,0
2.194,00 00 00 00 80 51 00 87,0,0,True,True,0
2.214,00 00 00 00 80 41 00 97,0,0,True,True,0
2.234,00 00 00 00 80 C1 00 AE,0,0,True,True,0
2.254,00 00 00 00 80 C1 00 BD,0,0,True,True,0
2.273,00 00 00 00 80 B1 00 CD,0,0,True,True,0
2.294,00 00 00 00 80 71 00 D0,0,0,True,True,0
2.314,00 00 00 00 80 B1 00 EB,0,0,True,True,0
2.334,00 00 00 00 80 F1 00 F6,0,0,True,True,0
2.354,00 00 00 00 80 E1 00 06,0,0,True,True,0
2.373,00 00 00 00 80 51 00 1E,0,0,True,True,0
2.394,00 00 00 00 80 91 00 29,0,0,True,True,0
2.413,00 00 00 00 81 01 00 30,0,0,True,True,0
2.434,00 00 00 00 80 C1 00 44,0,0,True,True,0
2.453,00 00 00 00 80 51 00 5A,0,0,True,True,0
2.474,00 00 00 00 80 91 00 65,0,0,True,True,0
2.494,00 00 00 00 80 E1 00 7F,0,0,True,True,0
2.513,00 00 00 00 80 B1 00 81,0,0,True,True,0
2.533,00 00 00 00 80 81 00 93,0,0,True,True,0
2.554,00 00 00 00 80 B1 00 AF,0,0,True,True,0
2.574,00 00 00 00 80 E1 00 BB,0,0,True,True,0
2.593,00 00 00 00 80 C1 00 CC,0,0,True,True,0
2.614,00 00 00 00 80 91 00 DE,0,0,True,True,0
2.633,00 00 00 00 80 71 00 EF,0,0,True,True,0
2.654,00 00 00 00 81 01 00 F4,0,0,True,True,0
2.674,00 00 00 00 80 E1 00 06,0,0,True,True,0
2.693,00 00 00 00 80 71 00 1C,0,0,True,True,0
2.714,00 00 00 00 80 51 00 2D,0,0,True,True,0
2.734,00 00 00 00 80 E1 00 33,0,0,True,True,0
2.754,00 00 00 00 80 E1 00 42,0,0,True,True,0
2.773,00 00 00 00 80 71 00 58,0,0,True,True,0
2.794,00 00 00 00 80 91 00 65,0,0,True,True,0
2.814,00 00 00 00 80 C1 00 71,0,0,True,True,0
2.834,00 00 00 00 80 B1 00 81,0,0,True,True,0
2.854,00 00 00 00 80 51 00 96,0,0,True,True,0
2.874,00 00 00 00 80 31 00 A7,0,0,True,True,0
2.894,00 00 00 00 80 C1 00 BD,0,0,True,True,0
2.913,00 00 00 00 81 01 00 C7,0,0,True,True,0
2.934,00 00 00 00 80 91 00 DE,0,0,True,True,0
2.953,00 00 00 00 80 71 00 EF,0,0,True,True,0
2.974,00 00 00 00 80 B1 00 FA,0,0,True,True,0
2.994,00 00 00 00 80 E1 00 06,0,0,True,True,0
3.014,00 00 00 00 80 91 00 1A,0,0,True,True,0
3.034,00 00 00 00 80 51 00 2D,0,0,True,True,0
3.053,00 00 00 00 80 71 00 3A,0,0,True,True,0
3.074,00 00 00 00 81 31 00 4C,0,0,True,True,0
3.094,00 00 00 00 80 B1 00 54,0,0,True,True,0
3.113,00 00 00 00 80 71 00 67,0,0,True,True,0
3.134,00 00 00 00 80 71 00 76,0,0,True,True,0
3.153,00 00 00 00 80 C1 00 80,0,0,True,True,0
3.174,00 00 00 00 80 B1 00 90,0,0,True,True,0
3.194,00 00 00 00 80 71 00 A3,0,0,True,True,0
3.213,00 00 00 00 80 81 00 B1,0,0,True,True,0
3.234,00 00 00 00 81 01 00 C7,0,0,True,True,0
3.253,00 00 00 00 81 01 00 D6,0,0,True,True,0
3.274,00 00 00 00 80 B1 00 EB,0,0,True,True,0
3.294,00 00 00 00 80 31 00 F2,0,0,True,True,0
3.313,00 00 00 00 80 E1 00 06,0,0,True,True,0
3.334,00 00 00 00 80 C1 00 17,0,0,True,True,0
3.353,00 00 00 00 80 31 00 2F,0,0,True,True,0
3.374,00 00 00 00 80 51 00 3C,0,0,True,True,0
